"","total_cup_points","species","owner","country_of_origin","farm_name","lot_number","mill","ico_number","company","altitude","region","producer","number_of_bags","bag_weight","in_country_partner","harvest_year","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","moisture","category_one_defects","quakers","color","category_two_defects","expiration","certification_body","certification_address","certification_contact","unit_of_measurement","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"1113",80.17,"Arabica","juan luis alvarado romero","Guatemala","agropecuaria quiagral",NA,"beneficio ixchel","11/23/0582","unex guatemala, s.a.","4300","oriente","AGROPECUARIA QUIAGRAL",250,"1 kg","Asociacion Nacional Del Café","2012","May 24th, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.33,7.33,7,7.33,7,7,10,10,10,7.17,0.11,0,0,"Green",5,"May 24th, 2013","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","ft",1310.64,1310.64,1310.64
"1114",80.17,"Arabica","kona pacific farmers cooperative","United States (Hawaii)",NA,NA,NA,NA,NA,NA,"kona",NA,22,"100 lbs","Specialty Coffee Association",NA,"September 22nd, 2011","Kona Pacific Farmers Cooperative",NA,NA,7.58,7.5,7.33,7.33,7.67,7.33,9.33,9.33,9.33,7.42,0.05,12,0,NA,1,"September 21st, 2012","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"1115",80.08,"Arabica","brayan cunha souza","Brazil",NA,"BR5691","cafeco 3","002/1352/0226","carmo coffees","1100","mantiqueira de minas",NA,440,"60 kg","Brazil Specialty Coffee Association","2017 / 2018","November 29th, 2017","Brayan Cunha Souza","Bourbon","Pulped natural / honey",7.17,7.17,7,7.17,7.25,7.25,10,10,10,7.08,0.11,0,0,"Green",5,"November 29th, 2018","Brazil Specialty Coffee Association","3297cfa4c538e3dd03f72cc4082c54f7999e1f9d","8900f0bf1d0b2bafe6807a73562c7677d57eb980","m",1100,1100,1100
"1116",80.08,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","<U+597D><U+81EA><U+5728><U+5496><U+5561><U+838A><U+5712>",NA,"<U+597D><U+81EA><U+5728><U+5496><U+5561><U+838A><U+5712>","Taiwan<U+53F0><U+7063>","<U+5BB8><U+5DA7><U+570B><U+969B>","850<U+516C><U+5C3A>","<U+82D7><U+6817><U+6CF0><U+5B89>","<U+7C21><U+7FA9><U+69AE>",10,"60 kg","Blossom Valley International","2014","November 23rd, 2014","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Washed / Wet",7.42,7.25,7.25,7.17,7,7,10,10,10,7,0.07,0,0,"Green",0,"November 23rd, 2015","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",850,850,850
"1117",80.08,"Arabica","honor dela fuente","Nicaragua",NA,NA,NA,"17","costco wholesale industries",NA,NA,NA,1,"5 lbs","Specialty Coffee Association","2013","February 25th, 2014","Honor dela Fuente",NA,"Natural / Dry",7.25,7.17,6.92,7.25,7.17,7.25,10,10,10,7.08,0.1,0,0,"Green",4,"February 25th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"1118",80.08,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","sheng he shang pin coffee <U+8056><U+8377><U+4E0A><U+54C1><U+5496><U+5561><U+574A>",NA,"sheng he shang pin coffee <U+8056><U+8377><U+4E0A><U+54C1><U+5496><U+5561><U+574A>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","200 m","yunlin gukeng he bao <U+96F2><U+6797><U+7E23><U+53E4><U+5751><U+9109><U+8377><U+82DE><U+6751>","Du zheng ru <U+675C><U+653F><U+5112>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Other",7.25,7.25,7.25,7.25,7.08,7,10,10,10,7,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",200,200,200
"1119",80.08,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","a shu she coffee <U+963F><U+675F><U+793E><U+5496><U+5561><U+838A><U+5712>",NA,"a shu she coffee <U+963F><U+675F><U+793E><U+5496><U+5561><U+838A><U+5712>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","150 m","changhua baguashan <U+5F70><U+5316><U+5E02><U+516B><U+5366><U+5C71>","Zheng zhao ming <U+912D><U+662D><U+660E>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Washed / Wet",7.25,7.25,7.25,7,7.25,7.08,10,10,10,7,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",150,150,150
"1120",80.08,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","wu kun shan coffee <U+5433><U+711C><U+5C71><U+5496><U+5561><U+5712>",NA,"wu kun shan coffee <U+5433><U+711C><U+5C71><U+5496><U+5561><U+5712>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","250 m","changhua baguashan <U+5F70><U+5316><U+5E02><U+516B><U+5366><U+5C71>","Wu kun shan <U+5433><U+711C><U+5C71>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Semi-washed / Semi-pulped",7.25,7.25,7.25,7.08,7.17,7.08,10,10,10,7,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",250,250,250
"1121",80.08,"Arabica","israel eduardo paz garcia","Mexico","el tabaco",NA,"zaragoza itundujia, oaxaca","1401045726","cafeorganico.mx","1300","zaragoza itundujia","ALBERTA TEODORO ANALCO",13,"1 kg","AMECAFE","2012","September 14th, 2012","ISRAEL EDUARDO PAZ GARCIA","Typica","Washed / Wet",7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,7.08,0.15,0,0,"None",0,"September 14th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1300,1300,1300
"1122",80.08,"Arabica","federico pacheco perez","Mexico",NA,NA,NA,"0",NA,"1300","escuitla","FEDERICO PACHECO PEREZ",10,"1 kg","AMECAFE","2012","August 30th, 2012","FEDERICO PACHECO PEREZ","Typica","Washed / Wet",7.25,7.08,7,7.17,7.33,7.17,10,10,10,7.08,0.14,1,0,"Green",17,"August 30th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1300,1300,1300
"1123",80,"Arabica","comercial internacional exportadora, s.a.","Nicaragua","santa matilde","605135 / K1730103","beneficio san carlos","017/001/1638","comercial internacional exportadora, s.a.","1250","jinotega","RONALDO LACAYO CARDENAL",275,"69 kg","Instituto Hondureño del Café","2017","June 13th, 2017","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.","Caturra","Washed / Wet",7.33,7.08,6.92,7.08,7.42,7.17,10,10,10,7,0.1,0,0,"Green",5,"June 13th, 2018","Instituto Hondureño del Café","b4660a57e9f8cc613ae5b8f02bfce8634c763ab4","7f521ca403540f81ec99daec7da19c2788393880","m",1250,1250,1250
"1124",80,"Arabica","ngu shwe li","Myanmar","doe kwin",NA,"ngu shwe li coffee estate","Unspecified","ngu shwe li coffee estate","3845","doe kwin, pyin oo lwin","Ngu Shwe Li Coffee Estate",1,"2 kg","Coffee Quality Institute","2015","July 17th, 2015","Ngu Shwe Li","Other","Washed / Wet",7.17,7.33,7,7.42,7.17,7,10,10,10,6.92,0,0,0,"Green",4,"July 16th, 2016","Coffee Quality Institute","1d4c7f93129f9fb1c8a5f0ce0e36cc1cf4c2f4d7","0f62c9236e3ff5c4921da1e22a350aa99482779d","m",3845,3845,3845
"1125",80,"Arabica","kurt kappeli","Mexico","various",NA,"productores de cafes especiales sc","0016-2050-0001","globus coffee","1300 to 1500 meters","sierra fraylesca, chiapas","various small producers",280,"2 kg","Specialty Coffee Association","2014","May 1st, 2014","Kurt Kappeli","Typica","Washed / Wet",7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10,7.42,0,0,0,"Green",2,"May 1st, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1300,1500,1400
"1126",80,"Arabica","cqi taiwan icp cqi<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Taiwan","zhang li hong coffee <U+5F35><U+7ACB><U+5B8F><U+5496><U+5561><U+838A><U+5712>",NA,"zhang li hong coffee <U+5F35><U+7ACB><U+5B8F><U+5496><U+5561><U+838A><U+5712>",NA,"blossom valley<U+5BB8><U+5DA7><U+570B><U+969B>","250 m","changhua baguashan <U+5F70><U+5316><U+5E02><U+516B><U+5366><U+5C71>","Zhang xian tong <U+5F35><U+732E><U+9285>",10,"30 kg","Blossom Valley International","2013/2014","December 26th, 2013","CQI Taiwan ICP CQI<U+53F0><U+7063><U+5408><U+4F5C><U+5925><U+4F34>","Typica","Washed / Wet",7.25,7.25,7.25,7,7.25,7,10,10,10,7,0.11,0,0,"Green",0,"December 26th, 2014","Blossom Valley International","fc45352eee499d8470cf94c9827922fb745bf815","de73fc9412358b523d3a641501e542f31d2668b0","m",250,250,250
"1127",80,"Arabica","doi tung development project","Thailand","doi tung development project",NA,"doi tung development project","10589010","doi tung development project","800++","thailand","Doi Tung Development Project",2,"1 kg","Specialty Coffee Association","2012","May 29th, 2013","Doi Tung Development Project",NA,"Washed / Wet",7.33,6.67,7.08,7.42,7.42,7.08,10,10,10,7,0,0,0,"Green",0,"May 29th, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",800,800,800
"1128",80,"Arabica","pablo enrique martinez gama","Mexico","la orduña, coatepec, veracruz",NA,"alcafe s.a. de c.v","1104362940",NA,"1250","coatepec","PABLO ENRIQUE MARTINEZ GAMA",20,"1 kg","AMECAFE","2012","September 10th, 2012","PABLO ENRIQUE MARTINEZ GAMA","Typica","Washed / Wet",7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,7.25,0.12,0,0,"Green",9,"September 10th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1250,1250,1250
"1129",80,"Arabica","semiramis casas velazquez","Mexico","santa clara, california y camila",NA,"finca camila","0",NA,"1100","san miguel del puerto","SEMIRAMIS CASAS VELAZQUEZ",256,"1 kg","AMECAFE","2012","September 4th, 2012","SEMIRAMIS CASAS VELAZQUEZ","Other","Washed / Wet",7.08,7.33,7,7.33,7.08,7,10,10,10,7.17,0.11,0,0,"Green",12,"September 4th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1100,1100,1100
"1130",80,"Arabica","ethiopia commodity exchange","Ethiopia","phone number | 0911-51-08-01, email | at",NA,NA,"010/0170",NA,NA,"limu","Contact name | ATO Teshome Belamo",300,"6","Ethiopia Commodity Exchange","2010","June 17th, 2010","Ethiopia Commodity Exchange",NA,NA,7.42,7.42,7.5,7.92,7.75,7.58,8.67,9.33,8.67,7.75,0.05,0,0,NA,2,"June 17th, 2011","Ethiopia Commodity Exchange","a176532400aebdc345cf3d870f84ed3ecab6249e","61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b","m",NA,NA,NA
"1131",79.92,"Arabica","federacion nacional de cafeteros","Colombia",NA,NA,NA,"03-01-2700","federacion nacional de cafeteros",NA,"huila",NA,275,"2 kg","Almacafé","2015","April 23rd, 2015","Federacion Nacional de Cafeteros",NA,"Washed / Wet",7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,10,7.42,0,0,0,"Green",1,"April 22nd, 2016","Almacafé","e493c36c2d076bf273064f7ac23ad562af257a25","70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab","m",NA,NA,NA
"1132",79.92,"Arabica","eileen koyanagi","United States (Hawaii)",NA,NA,NA,"KP022414","kona pacific farmers cooperative",NA,"kona",NA,12,"100 kg","Specialty Coffee Association","2014","May 12th, 2014","Eileen Koyanagi","Hawaiian Kona","Natural / Dry",7.5,7,7,6.92,7.33,7.17,10,10,10,7,0.11,1,0,"Green",3,"May 12th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"1133",79.92,"Arabica","calixto guillen vazquez","Mexico","various",NA,"productores de cafes especiales sc","2406","finca triunfo verde, s.c.","1300","chiapas","VARIOS PRODUCTORES",400,"1 kg","AMECAFE","2013","March 29th, 2013","CALIXTO GUILLEN VAZQUEZ","Bourbon","Washed / Wet",7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,7.17,0.12,0,0,"Green",4,"March 29th, 2014","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1300,1300,1300
"1134",79.92,"Arabica","alejandro garcia palacios","Mexico","finca buenos aires",NA,"finca la fortuna","1506558878","industrializadora de kaffee andes s.a. de c.v.","1100","motozintla, chiapas","MARTHA PALACIOS",10,"1 kg","AMECAFE","2012","September 11th, 2012","ALEJANDRO GARCIA PALACIOS","Other","Washed / Wet",7.17,7.17,6.92,7.25,7.33,7.08,10,10,10,7,0.12,1,0,"Green",7,"September 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1100,1100,1100
"1135",79.92,"Arabica","christina dusing","Mexico","rancho san francisco iii",NA,"ecc beneficio veracruz","1506729960",NA,"1100","veracruz","DELMAR MORENO GUILLEN",82,"1 kg","AMECAFE","2012","August 30th, 2012","CHRISTINA DUSING","Bourbon","Washed / Wet",7.5,7.17,7,7.17,7.25,7.08,10,10,10,6.75,0,0,0,NA,0,"August 30th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1100,1100,1100
"1136",79.92,"Arabica","montegrande","Mexico","finca monte grande",NA,"finca montegrande, jaltenango","0",NA,"1100","jaltenango","MARIA ELENA TERESA FERNANDEZ CEJA",250,"1 kg","AMECAFE","2012","July 26th, 2012","MONTEGRANDE","Catuai","Washed / Wet",7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,10,7.33,0.11,0,0,"Green",3,"July 26th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1100,1100,1100
"1137",79.92,"Arabica","pablo enrique martinez gama","Mexico","finca la orduña",NA,"finca la orduña, coatepec, ver.","1104362940",NA,"1250","coatepec","PABLO ENRIQUE MARTINEZ GAMA",100,"1 kg","AMECAFE","2012","July 11th, 2012","PABLO ENRIQUE MARTINEZ GAMA","Typica","Natural / Dry",7.33,7.25,7,7.42,7.17,7.17,9.33,10,10,7.25,0.12,0,0,"Green",6,"July 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1250,1250,1250
"1138",79.92,"Arabica","jesus carlos cadena valdivia","Mexico","finca huehuetecpan",NA,"cosautlan de carvajal, veracruz, méxico","1104387103","cafetalera la asunción s.a. de c.v.","1250","veracruz","MARIA DEL ROSARIO IRAIS VALDIVIA ORTIZ",209,"1 kg","AMECAFE","2012","July 11th, 2012","JESUS CARLOS CADENA VALDIVIA","Mundo Novo","Washed / Wet",7.17,7.33,7.08,7.58,7.33,7.08,10,9.33,10,7,0.11,0,0,"Green",0,"July 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1250,1250,1250
"1139",79.92,"Arabica","kona pacific farmers cooperative","United States (Hawaii)",NA,NA,NA,NA,NA,NA,"kona",NA,40,"100 lbs","Specialty Coffee Association",NA,"September 22nd, 2011","Kona Pacific Farmers Cooperative",NA,NA,7.5,7.42,7.58,7.42,7.5,7.58,8.67,8.67,10,7.58,0.05,3,0,NA,0,"September 21st, 2012","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"1140",79.83,"Arabica","kennedy macharia","Kenya","yara estate / benvar estate","SC 9634","sasini mills / thika cofee mills","37-0985-4045","taylor winch (coffee) ltd","1500","kiambu","YARA / BENVAR",200,"12000 kg","Kenya Coffee Traders Association","2017","August 25th, 2017","Kennedy Macharia","SL34","Washed / Wet",7,7.08,7,7.17,7.25,7.25,10,10,10,7.08,0.11,0,1,NA,5,"August 25th, 2018","Kenya Coffee Traders Association","ccba45b89d859740b749878be8c6d16fbdb96c2e","d752c909a015f3c76224b3c5cc520f8a67afda74","m",1500,1500,1500
"1141",79.83,"Arabica","juan luis alvarado romero","Guatemala","piamonte","11/23/0639","beneficio ixchel","11/23/0639","unex guatemala, s.a.","1700","san marcos","JORGE LEAL",50,"69 kg","Asociacion Nacional Del Café","2017","August 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.33,7.25,6.92,7.33,7.25,7.33,9.33,10,10,7.08,0.1,0,0,"Green",2,"August 22nd, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",1700,1700,1700
"1142",79.83,"Arabica","asociación aldea global jinotega","Nicaragua","asociación aldea global jinotega",NA,"beneficio soppexcca","017/191/488","asociación aldea global jinotega","1250","jinotega","Asociación Aldea Global Jinotega",75,"2 kg","Asociación de Cafés Especiales de Nicaragua","2014","March 30th, 2015","Asociación Aldea Global Jinotega","Caturra","Washed / Wet",6.83,7.17,7.17,6.92,7.5,7.08,10,10,10,7.17,0.11,0,0,"Green",0,"March 29th, 2016","Asociación de Cafés Especiales de Nicaragua","fc561dd3c2eee024b032933e0a97b4aede0dc206","f79a8d4dee92a80ff14025f03ea34fa316b2132f","m",1250,1250,1250
"1143",79.83,"Arabica","sergio de la vequia bernardi","Mexico","la cuchilla",NA,"cafetalera la cuchilla","1104276076",NA,"1300","veracruz","CIRO DE LA VEQUIA CESSA",250,"1 kg","AMECAFE","2012","July 11th, 2012","SERGIO DE LA VEQUIA BERNARDI","Typica","Washed / Wet",7.17,7.08,7,7.25,7.5,7,10,10,10,6.83,0.12,0,0,"Green",3,"July 11th, 2013","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1300,1300,1300
"1144",79.83,"Arabica","kona pacific farmers cooperative","United States (Hawaii)",NA,NA,NA,"HDOA 220468 Kona Prime","kona pacific farmers cooperative",NA,"kona",NA,12,"100 lbs","Specialty Coffee Association","2012","April 5th, 2012","Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry",7.58,7.08,6.83,7.17,7.5,7.17,9.33,10,10,7.17,0.12,7,0,"Blue-Green",10,"April 5th, 2013","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","ft",NA,NA,NA
"1145",79.75,"Arabica","juan luis alvarado romero","Guatemala","la esperanza","11/23/0507","beneficio ixchel","11/23/0507","unex guatemala, s.a.","1901.64","oriente","AGRICOLA EL PILAR, S.A.",25,"69 kg","Asociacion Nacional Del Café","2016","June 22nd, 2017","Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.25,0.1,0,4,"Green",1,"June 22nd, 2018","Asociacion Nacional Del Café","b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53","724f04ad10ed31dbb9d260f0dfd221ba48be8a95","m",190164,190164,190164
"1146",79.75,"Arabica","lin, che-hao krude <U+6797><U+54F2><U+8C6A>","Taiwan","ka-vulungan coffee estate",NA,"ka-vulungan coffee estate","Taiwan","red on tree co., ltd.","800-1200","taiwu township , pingtung county <U+5C4F><U+6771><U+7E23><U+6CF0><U+6B66><U+9109>","Wei-Chieh ( Jack ) Hua",28,"50 kg","Specialty Coffee Association","2014","March 21st, 2015","Lin, Che-Hao Krude <U+6797><U+54F2><U+8C6A>","Typica","Natural / Dry",7.75,7.33,7.17,7.33,7.67,7.83,9.33,9.33,8.67,7.33,0,0,0,NA,0,"March 20th, 2016","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",800,1200,1000
"1147",79.75,"Arabica","lin, che-hao krude <U+6797><U+54F2><U+8C6A>","Taiwan","baijiada coffee farm<U+4F70><U+52A0><U+9054><U+5496><U+5561><U+838A><U+5712>",NA,"baijiada coffee farm<U+4F70><U+52A0><U+9054><U+5496><U+5561><U+838A><U+5712>","Taiwan","red on tree co., ltd.","500-700m","baihe dist., tainan city <U+81FA><U+5357><U+5E02><U+767D><U+6CB3><U+5340>","LIN REN FU <U+6797><U+4EBA><U+5BCC>",50,"20 kg","Specialty Coffee Association","2013","July 28th, 2014","Lin, Che-Hao Krude <U+6797><U+54F2><U+8C6A>","Typica","Washed / Wet",7.08,7.08,7.25,7,7.17,7.17,10,10,10,7,0.1,0,0,"Blue-Green",0,"July 28th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",500,700,600
"1148",79.75,"Arabica","doi tung development project","Thailand",NA,NA,"doi tung development project","10703510","doi tung development project","800++","thailand","Doi Tung Development Project",1,"1 kg","Specialty Coffee Association","2013","June 16th, 2014","Doi Tung Development Project",NA,"Washed / Wet",7.25,7.08,6.92,7.5,7.08,6.92,10,10,10,7,0.12,0,0,"Green",0,"June 16th, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",800,800,800
"1149",79.75,"Arabica","dane loraas","Peru",NA,NA,NA,"030-0595-0508","sustainable harvest",NA,"huanuco",NA,320,"5 lbs","Specialty Coffee Association","2013","January 23rd, 2014","Dane Loraas",NA,"Washed / Wet",7,7.08,7,7.25,7.5,7.42,9.33,10,10,7.17,0.12,1,0,"Green",2,"January 23rd, 2015","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",NA,NA,NA
"1150",79.75,"Arabica","the coffee source inc.","Costa Rica","several",NA,"coopeagri","5-066-038","the coffee source inc.","1100","brunca","Coopeagri",275,"2 kg","Specialty Coffee Association","2013","September 23rd, 2013","The Coffee Source Inc.","Catuai","Washed / Wet",7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,0.1,0,0,"Bluish-Green",4,"September 23rd, 2014","Specialty Coffee Association","36d0d00a3724338ba7937c52a378d085f2172daa","0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660","m",1100,1100,1100
"1151",79.75,"Arabica","fredy gordillo reyes","Mexico","union ramal santa cruz",NA,"union ramal santa cruz","2496","union ramal santa cruz spr de ri","1400","la concordia, chiapas","UNION RAMAL SANTA CRUZ",310,"1 kg","AMECAFE","2013","March 29th, 2013","FREDY GORDILLO REYES","Typica","Washed / Wet",7.58,7.08,7,7,7.5,6.92,10,10,10,6.67,0.12,0,0,"Green",4,"March 29th, 2014","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1400,1400,1400
"1152",79.75,"Arabica","leonides de la cruz lopez","Mexico","comonyaj noptic s de ss",NA,NA,"0","comon yaj noptic s. de ss","1022","chiapas","COMONYAJ NOPTIC S DE SS",275,"1 kg","AMECAFE","2013","March 29th, 2013","LEONIDES DE LA CRUZ LOPEZ","Bourbon","Washed / Wet",7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,0.13,0,0,"Green",4,"March 29th, 2014","AMECAFE","59e396ad6e22a1c22b248f958e1da2bd8af85272","0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7","m",1022,1022,1022
